#,Country,Population,Density (P/km2),Land Area (km2),Medium age,Urban population
1,China,1439323776,153,9388211,38,61 %
2,India,1380004385,464,2973190,28,35 %
3,United States,331002651,36,9147420,38,83 %
4,Indonesia,273523615,151,1811570,30,56 %
5,Pakistan,220892340,287,770880,23,35 %
6,Brazil,212559417,25,8358140,33,88 %
7,Nigeria,206139589,226,910770,18,52 %
8,Bangladesh,164689383,1265,130170,28,39 %
9,Russia,145934462,9,16376870,40,74 %
10,Mexico,128932753,66,1943950,29,84 %
11,Japan,126476461,347,364555,48,92 %
12,Ethiopia,114963588,115,1000000,19,21 %
13,Philippines,109581078,368,298170,26,47 %
14,Egypt,102334404,103,995450,25,43 %
15,Vietnam,97338579,314,310070,32,38 %
16,DR Congo,89561403,40,2267050,17,46 %
17,Turkey,84339067,110,769630,32,76 %
18,Iran,83992949,52,1628550,32,76 %
19,Germany,83783942,240,348560,46,76 %
20,Thailand,69799978,137,510890,40,51 %
21,United Kingdom,67886011,281,241930,40,83 %
22,France,65273511,119,547557,42,82 %
23,Italy,60461826,206,294140,47,69 %
24,Tanzania,59734218,67,885800,18,37 %
25,South Africa,59308690,49,1213090,28,67 %
26,Myanmar,54409800,83,653290,29,31 %
27,Kenya,53771296,94,569140,20,28 %
28,South Korea,51269185,527,97230,44,82 %
29,Colombia,50882891,46,1109500,31,80 %
30,Spain,46754778,94,498800,45,80 %
31,Uganda,45741007,229,199810,17,26 %
32,Argentina,45195774,17,2736690,32,93 %
33,Algeria,43851044,18,2381740,29,73 %
34,Sudan,43849260,25,1765048,20,35 %
35,Ukraine,43733762,75,579320,41,69 %
36,Iraq,40222493,93,434320,21,73 %
37,Afghanistan,38928346,60,652860,18,25 %
38,Poland,37846611,124,306230,42,60 %
39,Canada,37742154,4,9093510,41,81 %
40,Morocco,36910560,83,446300,30,64 %
41,Saudi Arabia,34813871,16,2149690,32,84 %
42,Uzbekistan,33469203,79,425400,28,50 %
43,Peru,32971854,26,1280000,31,79 %
44,Angola,32866272,26,1246700,17,67 %
45,Malaysia,32365999,99,328550,30,78 %
46,Mozambique,31255435,40,786380,18,38 %
47,Ghana,31072940,137,227540,22,57 %
48,Yemen,29825964,56,527970,20,38 %
49,Nepal,29136808,203,143350,25,21 %
50,Venezuela,28435940,32,882050,30,N.A.
51,Madagascar,27691018,48,581795,20,39 %
52,Cameroon,26545863,56,472710,19,56 %
53,Côte d'Ivoire,26378274,83,318000,19,51 %
54,North Korea,25778816,214,120410,35,63 %
55,Australia,25499884,3,7682300,38,86 %
56,Niger,24206644,19,1266700,15,17 %
57,Taiwan,23816775,673,35410,42,79 %
58,Sri Lanka,21413249,341,62710,34,18 %
59,Burkina Faso,20903273,76,273600,18,31 %
60,Mali,20250833,17,1220190,16,44 %
61,Romania,19237691,84,230170,43,55 %
62,Malawi,19129952,203,94280,18,18 %
63,Chile,19116201,26,743532,35,85 %
64,Kazakhstan,18776707,7,2699700,31,58 %
65,Zambia,18383955,25,743390,18,45 %
66,Guatemala,17915568,167,107160,23,52 %
67,Ecuador,17643054,71,248360,28,63 %
68,Syria,17500658,95,183630,26,60 %
69,Netherlands,17134872,508,33720,43,92 %
70,Senegal,16743927,87,192530,19,49 %
71,Cambodia,16718965,95,176520,26,24 %
72,Chad,16425864,13,1259200,17,23 %
73,Somalia,15893222,25,627340,17,47 %
74,Zimbabwe,14862924,38,386850,19,38 %
75,Guinea,13132795,53,245720,18,39 %
76,Rwanda,12952218,525,24670,20,18 %
77,Benin,12123200,108,112760,19,48 %
78,Burundi,11890784,463,25680,17,14 %
79,Tunisia,11818619,76,155360,33,70 %
80,Bolivia,11673021,11,1083300,26,69 %
81,Belgium,11589623,383,30280,42,98 %
82,Haiti,11402528,414,27560,24,57 %
83,Cuba,11326616,106,106440,42,78 %
84,South Sudan,11193725,18,610952,19,25 %
85,Dominican Republic,10847910,225,48320,28,85 %
86,Czech Republic (Czechia),10708981,139,77240,43,74 %
87,Greece,10423054,81,128900,46,85 %
88,Jordan,10203134,115,88780,24,91 %
89,Portugal,10196709,111,91590,46,66 %
90,Azerbaijan,10139177,123,82658,32,56 %
91,Sweden,10099265,25,410340,41,88 %
92,Honduras,9904607,89,111890,24,57 %
93,United Arab Emirates,9890402,118,83600,33,86 %
94,Hungary,9660351,107,90530,43,72 %
95,Tajikistan,9537645,68,139960,22,27 %
96,Belarus,9449323,47,202910,40,79 %
97,Austria,9006398,109,82409,43,57 %
98,Papua New Guinea,8947024,20,452860,22,13 %
