,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
618,MLS Listing,Single Family Residential,Portland,OR,97233.0,334900.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2044.0,2613.0,2007.0,49.0,164.0,0.0,Active,RMLS,18517652,45.53550904595655,-122.45222735404344,"{'spatialReference': {'wkid': 4326}, 'x': -122.45222735404344, 'y': 45.53550904595655}"
776,MLS Listing,Single Family Residential,Portland,OR,97230.0,349950.0,3.0,2.5,Reeds Place,2133.0,3920.0,2006.0,13.0,164.0,0.0,Active,RMLS,18465613,45.53333211486369,-122.45028188513632,"{'spatialReference': {'wkid': 4326}, 'x': -122.45028188513632, 'y': 45.53333211486369}"
808,MLS Listing,Single Family Residential,Portland,OR,97233.0,358999.0,4.0,2.5,Portland Southeast,2076.0,5227.0,2003.0,35.0,173.0,0.0,Active,RMLS,18005102,45.5174941277176,-122.4986661722824,"{'spatialReference': {'wkid': 4326}, 'x': -122.4986661722824, 'y': 45.5174941277176}"
881,MLS Listing,Single Family Residential,Portland,OR,97236.0,369800.0,4.0,2.5,Portland Southeast,2040.0,5227.0,2014.0,57.0,181.0,0.0,Active,RMLS,18216924,45.46228010059121,-122.53661989940878,"{'spatialReference': {'wkid': 4326}, 'x': -122.53661989940878, 'y': 45.46228010059121}"
955,MLS Listing,Single Family Residential,Portland,OR,97236.0,379900.0,3.0,2.0,Portland Southeast,2068.0,6534.0,2000.0,8.0,184.0,34.0,Active,RMLS,18647164,45.48586152518308,-122.48378397481692,"{'spatialReference': {'wkid': 4326}, 'x': -122.48378397481692, 'y': 45.48586152518308}"
1006,MLS Listing,Single Family Residential,Portland,OR,97211.0,389900.0,4.0,2.5,Portland Northeast,2072.0,10018.0,2005.0,104.0,188.0,0.0,Active,RMLS,18229660,45.61157210686565,-122.64026629313436,"{'spatialReference': {'wkid': 4326}, 'x': -122.64026629313436, 'y': 45.61157210686565}"
1078,MLS Listing,Single Family Residential,Portland,OR,97219.0,399500.0,3.0,2.5,"Portland West, Raleigh Hills",2102.0,3484.0,2008.0,71.0,190.0,0.0,Active,RMLS,18586790,45.45598144835962,-122.72051955164038,"{'spatialReference': {'wkid': 4326}, 'x': -122.72051955164038, 'y': 45.45598144835962}"
1083,MLS Listing,Single Family Residential,Portland,OR,97230.0,399888.0,3.0,2.5,WILKES COMMUNITY,2404.0,6098.0,2003.0,48.0,166.0,24.0,Active,RMLS,18314898,45.53731157892579,-122.50290162107422,"{'spatialReference': {'wkid': 4326}, 'x': -122.50290162107422, 'y': 45.53731157892579}"
1137,MLS Listing,Single Family Residential,Portland,OR,97216.0,405500.0,5.0,3.0,Portland Southeast,2406.0,5662.0,2007.0,21.0,169.0,0.0,Active,RMLS,18085278,45.51262208249472,-122.54369341750528,"{'spatialReference': {'wkid': 4326}, 'x': -122.54369341750528, 'y': 45.51262208249472}"
1201,MLS Listing,Single Family Residential,Milwaukie,OR,97222.0,423900.0,4.0,3.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",2116.0,6969.0,2018.0,67.0,200.0,0.0,Active,RMLS,18406186,45.47572778261215,-122.57197421738783,"{'spatialReference': {'wkid': 4326}, 'x': -122.57197421738783, 'y': 45.47572778261215}"
